Module,Frequency,N,M,Weight (bits),Activation (bits),Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
systolic_array,500000000,1,1,8,4, 1 ,64314,2799600,344300

axcore,1000000000,1,1,8,32, 1 ,3005,262125,152352
figlut,1000000000,1,1,8,32, 1 ,5793,720103,152352
figna,1000000000,1,1,8,32, 1 ,4523,378176,152352
fpma,1000000000,1,1,8,32, 1 ,6219,814664,152352
fpe,1000000000,1,1,8,32, 1 ,26447,2168456,152352

