Module,Frequency,N,M,Weight (bits),Activation (bits),Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
systolic_array,500000000,1,1,8,4, 1 ,64314,2799600,344300

axcore,1000000000,1,1,4,16, 1 ,1056,112625,152352
figlut,1000000000,1,1,4,16, 1 ,2101,217525,152352
figna,1000000000,1,1,4,16, 1 ,1325,155806,152352
fpma,1000000000,1,1,4,16, 1 ,2475,381832,152352
fpe,1000000000,1,1,4,16, 1 ,5053,691006,152352

